iter	Passed	Remaining
1411	36997	15406
1412	37021	15379
1413	37047	15353
1414	37075	15328
1415	37100	15301
1416	37126	15274
1417	37151	15248
1418	37179	15223
1419	37215	15200
1420	37246	15176
1421	37277	15152
1422	37308	15127
1423	37347	15106
1424	37374	15081
1425	37401	15054
1426	37428	15029
1427	37457	15003
1428	37490	14980
1429	37557	14970
1430	37594	14948
1431	37626	14924
1432	37654	14898
1433	37681	14872
1434	37709	14847
1435	37738	14822
1436	37765	14795
1437	37801	14773
1438	37843	14753
1439	37875	14729
1440	37909	14706
1441	37951	14685
1442	38002	14668
1443	38041	14647
1444	38089	14629
1445	38127	14607
1446	38164	14585
1447	38215	14568
1448	38246	14543
1449	38281	14520
1450	38313	14496
1451	38346	14472
1452	38382	14449
1453	38416	14425
1454	38451	14402
1455	38482	14378
1456	38512	14352
1457	38540	14327
1458	38568	14301
1459	38595	14275
1460	38624	14249
1461	38650	14222
1462	38678	14196
1463	38706	14171
1464	38732	14144
1465	38760	14118
1466	38788	14092
1467	38819	14067
1468	38846	14041
1469	38873	14015
1470	38899	13989
1471	38923	13961
1472	38951	13935
1473	38977	13909
1474	39006	13883
1475	39035	13858
1476	39065	13832
1477	39091	13806
1478	39117	13779
1479	39144	13753
1480	39171	13727
1481	39196	13700
1482	39220	13672
1483	39245	13646
1484	39271	13619
1485	39297	13592
1486	39323	13566
1487	39351	13540
1488	39378	13514
1489	39402	13486
1490	39429	13460
1491	39459	13435
1492	39482	13407
1493	39511	13382
1494	39535	13354
1495	39566	13329
1496	39598	13305
1497	39623	13278
1498	39651	13252
1499	39677	13225
1500	39703	13199
1501	39731	13173
1502	39765	13149
1503	39799	13125
1504	39836	13102
1505	39863	13075
1506	39889	13049
1507	39915	13022
1508	39941	12996
1509	39967	12969
1510	39994	12943
1511	40017	12915
1512	40042	12888
1513	40066	12861
1514	40092	12834
1515	40115	12807
1516	40142	12781
1517	40167	12753
1518	40193	12727
1519	40220	12701
1520	40248	12675
1521	40282	12651
1522	40318	12627
1523	40347	12601
1524	40387	12579
1525	40420	12555
1526	40449	12529
1527	40481	12504
1528	40513	12480
1529	40542	12454
1530	40572	12428
1531	40606	12404
1532	40635	12378
1533	40663	12352
1534	40693	12327
1535	40725	12302
1536	40761	12278
1537	40788	12252
1538	40821	12227
1539	40853	12203
1540	40894	12180
1541	40937	12159
1542	40980	12137
1543	41016	12113
1544	41047	12088
1545	41079	12063
1546	41106	12036
1547	41141	12012
1548	41177	11988
1549	41212	11964
1550	41250	11941
1551	41283	11916
1552	41320	11893
1553	41349	11867
1554	41375	11840
1555	41403	11814
1556	41443	11791
1557	41473	11765
1558	41500	11739
1559	41531	11714
1560	41560	11688
1561	41588	11661
1562	41615	11635
1563	41644	11609
1564	41672	11583
1565	41698	11556
1566	41725	11529
1567	41751	11502
1568	41776	11475
1569	41800	11448
1570	41826	11421
1571	41855	11395
1572	41881	11368
1573	41905	11341
1574	41931	11314
1575	41954	11287
1576	41979	11260
1577	42003	11232
1578	42033	11207
1579	42067	11182
1580	42093	11155
1581	42119	11128
1582	42145	11102
1583	42171	11075
1584	42195	11047
1585	42219	11020
1586	42252	10995
1587	42281	10969
1588	42309	10943
1589	42338	10917
1590	42363	10890
1591	42389	10863
1592	42417	10837
1593	42445	10811
1594	42481	10786
1595	42508	10760
1596	42532	10733
1597	42556	10705
1598	42582	10678
1599	42606	10651
1600	42630	10624
1601	42656	10597
1602	42682	10570
1603	42720	10546
1604	42752	10521
1605	42775	10494
1606	42782	10462
1607	42805	10435
1608	42831	10408
1609	42861	10382
1610	42887	10355
1611	42914	10329
1612	42940	10302
1613	42966	10275
1614	42995	10249
1615	43022	10223
1616	43051	10197
1617	43078	10170
1618	43105	10144
1619	43131	10117
1620	43157	10090
1621	43184	10064
1622	43212	10037
1623	43237	10010
1624	43263	9983
1625	43286	9956
1626	43311	9929
1627	43337	9902
1628	43361	9875
1629	43386	9848
1630	43414	9822
1631	43438	9795
1632	43463	9768
1633	43489	9741
1634	43516	9714
1635	43545	9688
1636	43568	9661
1637	43593	9634
1638	43618	9607
1639	43647	9581
1640	43673	9554
1641	43698	9527
1642	43724	9500
1643	43749	9473
1644	43772	9446
1645	43797	9419
1646	43824	9392
1647	43852	9366
1648	43879	9340
1649	43906	9313
1650	43930	9286
1651	43954	9259
1652	43976	9231
1653	44001	9204
1654	44026	9177
1655	44049	9150
1656	44076	9123
1657	44103	9097
1658	44126	9070
1659	44151	9042
1660	44173	9015
1661	44197	8988
1662	44223	8961
